Grupo;AnoMesContemplacao;QtdContemLance;MaiorLance;MenorLance;MediaLance;TipoBem;Indicador;NumeroAssembleia;PrazoGrupo;PrazoRestante;INCC;INCC2;GrupoParceiro
000713;202504;2;30,1087;17,9421;24,0254;Imóvel;;144;180;36;2014-05-16;;N
000713;202505;3;20;5,4;12,89333333;Imóvel;;144;180;36;2014-05-16;;N
000713;202507;1;19,8499;19,8499;19,8499;Imóvel;;144;180;36;2014-05-16;;N
000713;202508;1;15,2;15,2;15,2;Imóvel;;144;180;36;2014-05-16;;N
000713;202509;1;12,6512;12,6512;12,6512;Imóvel;;144;180;36;2014-05-16;;N
000714;202503;3;27,2244;27,2244;27,2244;Imóvel;;144;180;36;2014-05-23;;S
000714;202504;2;31,7833;23,1568;27,47005;Imóvel;;144;180;36;2014-05-23;;S
000714;202507;2;28,5104;10,8876;19,699;Imóvel;;144;180;36;2014-05-23;;S
000714;202508;2;19,5297;10;14,76485;Imóvel;;144;180;36;2014-05-23;;S
000714;202511;1;6;6;6;Imóvel;;144;180;36;2014-05-23;;S
000714;202512;2;20;20;20;Imóvel;;144;180;36;2014-05-23;;S
000715;202503;3;27,2244;25;26,48293333;Imóvel;;144;180;36;2014-05-23;;S
000715;202504;2;26,6688;17;21,8344;Imóvel;;144;180;36;2014-05-23;;S
000715;202505;2;21,1299;20,739;20,93445;Imóvel;;144;180;36;2014-05-23;;S
000715;202506;1;20,9423;20,9423;20,9423;Imóvel;;144;180;36;2014-05-23;;S
000715;202507;3;23,1111;14;17,37036667;Imóvel;;144;180;36;2014-05-23;;S
000715;202508;1;11,8399;11,8399;11,8399;Imóvel;;144;180;36;2014-05-23;;S
000715;202509;2;33,6539;10;21,82695;Imóvel;;144;180;36;2014-05-23;;S
000715;202510;1;17,26;17,26;17,26;Imóvel;;144;180;36;2014-05-23;;S
000715;202511;2;21,659;19;20,3295;Imóvel;;144;180;36;2014-05-23;;S
000715;202601;2;22,1108;22,1108;22,1108;Imóvel;;144;180;36;2014-05-23;;S
000715;202602;1;21,5458;21,5458;21,5458;Imóvel;;144;180;36;2014-05-23;;S
000715;202603;1;20,5572;20,5572;20,5572;Imóvel;;144;180;36;2014-05-23;;S
000716;202503;6;27,78;12,2432;19,07888333;Imóvel;;143;180;37;2014-06-09;;S
000716;202504;2;28,0028;25;26,5014;Imóvel;;143;180;37;2014-06-09;;S
000716;202505;1;15,1922;15,1922;15,1922;Imóvel;;143;180;37;2014-06-09;;S
000716;202506;4;26,1132;20,8;23,6386;Imóvel;;143;180;37;2014-06-09;;S
000716;202507;3;21,1313;19;20,42086667;Imóvel;;143;180;37;2014-06-09;;S
000716;202508;2;25,002;17;21,001;Imóvel;;143;180;37;2014-06-09;;S
000716;202509;1;21,7421;21,7421;21,7421;Imóvel;;143;180;37;2014-06-09;;S
000716;202510;2;21,98;21;21,49;Imóvel;;143;180;37;2014-06-09;;S
000716;202511;2;21,3448;21,3448;21,3448;Imóvel;;143;180;37;2014-06-09;;S
000716;202512;3;22,77;22;22,51;Imóvel;;143;180;37;2014-06-09;;S
000716;202601;2;22,224;22,2224;22,2232;Imóvel;;143;180;37;2014-06-09;;S
000716;202602;2;21,6684;18,605;20,1367;Imóvel;;143;180;37;2014-06-09;;S
000716;202603;3;21,1128;21,1128;21,1128;Imóvel;;143;180;37;2014-06-09;;S
000717;202503;7;27,78;9,1234;18,66478571;Imóvel;;143;180;37;2014-06-09;;S
000717;202504;2;10,4809;10,3785;10,4297;Imóvel;;143;180;37;2014-06-09;;S
000717;202505;1;8,392;8,392;8,392;Imóvel;;143;180;37;2014-06-09;;S
000717;202507;3;25,5576;5,6211;14,31123333;Imóvel;;143;180;37;2014-06-09;;S
000717;202508;1;12,0135;12,0135;12,0135;Imóvel;;143;180;37;2014-06-09;;S
000717;202509;2;12;10,4644;11,2322;Imóvel;;143;180;37;2014-06-09;;S
000717;202510;1;47,2529;47,2529;47,2529;Imóvel;;143;180;37;2014-06-09;;S
000717;202511;1;14;14;14;Imóvel;;143;180;37;2014-06-09;;S
000717;202512;1;6,122;6,122;6,122;Imóvel;;143;180;37;2014-06-09;;S
000717;202601;1;5,5329;5,5329;5,5329;Imóvel;;143;180;37;2014-06-09;;S
000717;202602;1;20,0001;20,0001;20,0001;Imóvel;;143;180;37;2014-06-09;;S
000717;202604;1;35,9272;35,9272;35,9272;Imóvel;;143;180;37;2014-06-09;;S
000718;202503;4;26,2726;12,4601;16,104475;Imóvel;;143;180;37;2014-06-18;;S
000718;202504;1;13,0328;13,0328;13,0328;Imóvel;;143;180;37;2014-06-18;;S
000718;202505;1;20;20;20;Imóvel;;143;180;37;2014-06-18;;S
000718;202506;3;17,2563;7,9169;14,05773333;Imóvel;;143;180;37;2014-06-18;;S
000718;202511;1;6,9067;6,9067;6,9067;Imóvel;;143;180;37;2014-06-18;;S
000718;202512;2;20,9296;20;20,4648;Imóvel;;143;180;37;2014-06-18;;S
000718;202601;1;9,7258;9,7258;9,7258;Imóvel;;143;180;37;2014-06-18;;S
000718;202603;1;8,544;8,544;8,544;Imóvel;;143;180;37;2014-06-18;;S
000719;202503;2;24,2232;18,2232;21,2232;Imóvel;;143;180;37;2014-06-18;;N
000719;202504;2;20;6,9686;13,4843;Imóvel;;143;180;37;2014-06-18;;N
000719;202505;2;20,1615;15,1922;17,67685;Imóvel;;143;180;37;2014-06-18;;N
000719;202506;1;26,0712;26,0712;26,0712;Imóvel;;143;180;37;2014-06-18;;N
000719;202508;3;25,002;15,321;21,441;Imóvel;;143;180;37;2014-06-18;;N
000719;202509;2;41,9036;31,427;36,6653;Imóvel;;143;180;37;2014-06-18;;N
